pattern_name,open,close,high,low
hammer,338.78,339.59,339.76,336.67
hammer,339.65,340.58,340.84,335.69
hammer,341.47,342.4,342.69,339.2
hammer,367.11,368.71,370.36,366.24
hammer,301.71,303.86,305.88,300.46
hammer,398.12,399.04,402.37,397.57
hammer,209.93,211.12,211.23,206.56
hammer,157.42,158.16,158.37,154.94
hammer,297.41,298.45,300.97,295.74
hammer,350.45,352.64,355.17,348.99
hammer,206.6,208.18,209.84,205.73
hammer,397.0,398.31,400.15,395.25
hammer,114.11,114.65,114.94,111.07
hammer,346.67,347.6,350.75,346.11
hammer,389.99,390.95,391.12,386.84
hammer,285.11,285.86,286.02,281.2
hammer,180.03,182.07,185.23,178.06
hammer,366.89,367.89,367.98,362.91
hammer,163.7,164.5,164.57,159.74
hammer,120.05,120.88,121.06,117.72
hammer,275.62,276.3,276.56,272.38
hammer,183.73,184.87,185.14,180.07
hammer,297.33,297.86,298.02,295.07
hammer,306.34,307.33,307.62,303.8
hammer,348.38,349.39,349.68,345.58
hammer,371.88,372.56,372.81,368.44
hammer,332.33,333.31,333.52,328.78
hammer,336.42,337.49,337.77,334.25
hammer,279.12,279.84,280.03,277.07
hammer,250.35,251.66,254.7,249.3
hammer,347.24,348.1,349.94,345.59
hammer,225.71,226.49,226.66,222.83
hammer,194.89,195.4,195.66,190.96
hammer,249.78,250.66,250.74,246.37
hammer,184.02,185.71,187.49,183.26
hammer,116.94,117.78,117.9,113.73
hammer,384.96,385.93,386.09,382.38
hammer,132.69,133.66,133.79,128.81
hammer,102.39,103.75,105.54,100.62
hammer,284.46,285.06,285.32,282.06
hammer,280.02,282.41,284.47,278.7
hammer,124.56,125.12,125.19,121.85
hammer,347.11,348.33,350.7,346.04
hammer,356.67,358.85,362.06,356.14
hammer,396.65,397.49,397.71,392.96
hammer,161.27,161.68,161.93,157.47
hammer,198.46,199.07,199.36,195.16
hammer,359.74,360.56,360.73,356.3
hammer,305.21,306.06,306.12,302.11
hammer,256.67,258.11,260.45,255.63
hammer,276.05,277.71,280.78,274.73
hammer,207.04,208.19,208.48,203.19
hammer,236.38,236.81,237.05,233.8
hammer,89.34,89.9,90.1,86.56
hammer,167.95,168.49,168.65,164.47
hammer,187.71,188.19,188.45,184.5
hammer,332.8,333.95,334.13,329.16
hammer,116.49,117.61,117.75,113.03
hammer,284.05,285.74,288.3,283.14
hammer,115.09,116.12,116.28,112.96
hammer,185.49,186.17,186.39,181.99
hammer,304.96,305.91,306.19,301.38
hammer,305.13,306.32,306.54,303.12
hammer,88.4,88.88,89.08,85.75
hammer,168.01,168.84,168.98,164.02
hammer,168.21,170.24,171.52,166.49
hammer,154.74,155.61,158.48,153.18
hammer,240.64,241.84,241.98,238.59
hammer,295.62,297.41,300.4,294.03
hammer,263.72,264.7,264.99,259.9
hammer,362.35,363.95,366.29,360.58
hammer,382.46,384.2,386.33,381.49
hammer,86.0,88.26,90.7,84.64
hammer,107.42,108.46,108.69,105.26
hammer,261.52,262.46,262.75,258.77
hammer,250.88,251.93,252.1,247.21
hammer,387.75,388.91,388.99,385.13
hammer,397.66,398.84,399.06,395.11
hammer,105.74,106.49,106.62,103.24
hammer,201.36,201.81,201.86,199.02
hammer,264.86,265.87,266.04,261.83
hammer,294.44,295.8,298.54,293.51
hammer,352.3,352.87,353.12,349.62
hammer,154.82,155.93,156.12,150.99
hammer,328.37,329.35,329.54,326.03
hammer,109.22,111.45,113.88,107.3
hammer,252.3,254.37,257.04,251.26
hammer,94.5,95.16,95.33,91.58
hammer,374.53,376.25,379.23,373.49
hammer,350.23,351.11,351.29,347.44
hammer,332.8,333.45,333.55,330.69
hammer,296.84,297.59,297.73,293.66
hammer,360.27,361.07,361.17,356.45
hammer,87.82,88.6,88.86,85.67
hammer,223.91,225.82,227.63,222.7
hammer,268.14,269.1,269.31,265.8
hammer,264.08,264.79,265.03,260.9
hammer,150.18,151.85,153.08,149.61
hammer,147.73,148.74,148.89,144.23
hammer,171.38,173.02,174.33,169.61
hammer,248.47,249.72,251.71,247.41
hammer,261.1,262.19,263.38,259.29
hammer,194.23,196.5,198.33,193.55
hammer,98.06,98.69,98.95,94.6
hammer,258.83,259.93,260.06,254.92
hammer,290.1,292.39,294.22,288.73
hammer,310.91,312.68,313.89,310.33
hammer,112.17,112.98,115.36,110.28
hammer,244.24,245.04,245.33,242.15
hammer,223.55,224.02,224.13,219.88
hammer,230.24,232.59,234.52,229.12
hammer,120.39,122.15,123.69,118.84
hammer,118.02,119.49,122.48,117.01
hammer,341.9,343.84,345.4,341.1
hammer,350.57,351.24,351.31,347.48
hammer,325.41,326.29,326.53,323.18
hammer,338.89,339.64,339.8,335.54
hammer,276.92,278.01,278.1,274.27
hammer,154.49,155.12,155.32,151.76
hammer,171.06,172.78,175.02,169.15
hammer,241.74,242.69,242.84,238.06
hammer,150.57,151.32,151.38,147.9
hammer,124.28,125.23,125.46,122.15
hammer,107.4,109.03,111.92,105.86
hammer,367.78,368.21,368.49,365.15
hammer,367.66,368.26,368.33,364.1
hammer,344.64,345.11,345.32,342.27
hammer,274.92,275.91,276.0,272.16
hammer,83.38,84.18,84.36,80.21
hammer,375.36,376.42,376.49,373.16
hammer,128.31,129.06,129.19,125.76
hammer,81.13,83.02,84.67,79.52
hammer,218.44,219.33,220.64,217.71
hammer,178.86,179.72,179.96,176.68
hammer,129.35,131.23,134.08,128.38
hammer,115.47,117.29,118.33,114.2
hammer,311.73,312.91,312.98,308.86
hammer,357.79,360.24,362.74,356.76
hammer,315.7,316.85,317.1,311.97
hammer,227.96,229.99,231.98,226.24
hammer,210.43,211.16,211.27,207.59
hammer,130.37,131.31,131.43,127.05
hammer,285.27,286.19,286.43,282.43
hammer,317.35,318.35,318.52,313.79
hammer,128.28,128.76,129.03,125.59
hammer,104.79,105.41,105.54,101.71
hammer,139.0,140.15,140.32,135.35
hammer,165.89,168.1,169.32,164.06
hammer,307.04,307.53,307.59,304.39
hammer,202.12,203.82,207.25,200.33
hammer,136.02,137.12,140.42,134.02
hammer,283.13,283.6,283.74,280.46
hammer,238.95,240.24,243.24,237.54
hammer,383.33,384.24,384.38,379.73
hammer,259.64,260.51,260.78,256.84
hammer,315.26,315.7,315.88,311.63
hammer,356.59,357.87,360.47,355.49
hammer,90.1,91.09,92.14,89.13
hammer,340.4,341.7,344.24,339.77
hammer,158.08,158.88,161.76,156.42
hammer,146.33,147.67,149.54,144.43
hammer,365.23,367.24,370.55,363.77
hammer,238.12,240.21,242.33,236.23
hammer,193.86,195.39,198.09,192.37
hammer,151.26,151.68,151.8,147.91
hammer,137.68,138.84,139.01,135.23
hammer,90.47,91.22,91.51,86.76
hammer,333.02,333.85,334.01,329.67
hammer,157.58,158.63,158.78,155.35
hammer,369.55,370.5,370.77,366.02
hammer,112.83,115.08,116.79,111.18
hammer,327.54,328.16,328.45,324.56
hammer,241.36,242.64,246.11,239.84
hammer,300.17,300.95,301.25,296.61
hammer,366.38,367.6,370.19,365.05
hammer,260.11,261.3,261.38,256.58
hammer,274.02,275.21,277.51,272.85
hammer,197.77,199.83,203.07,196.69
hammer,121.85,122.69,122.82,118.91
hammer,148.4,148.85,148.99,144.43
hammer,149.96,150.39,150.49,146.66
hammer,217.9,219.93,222.84,216.85
hammer,122.74,123.74,123.94,119.91
hammer,261.1,263.16,264.29,259.69
hammer,254.38,255.25,255.51,252.37
hammer,248.34,249.53,249.72,245.56
hammer,125.26,126.43,126.66,122.47
hammer,351.74,352.68,352.77,347.77
hammer,188.34,190.24,193.37,186.56
hammer,116.85,117.89,121.31,115.06
hammer,359.16,359.62,359.83,355.32
hammer,156.01,156.64,156.87,153.11
hammer,147.51,149.8,151.59,146.03
hammer,109.83,112.18,114.33,109.15
hammer,125.84,127.02,128.77,125.25
hammer,158.05,158.58,158.77,154.14
hammer,256.54,256.95,257.01,252.77
hammer,264.93,265.86,265.97,262.72
hammer,236.69,237.34,237.5,234.58
hammer,323.9,324.47,324.64,320.45
hammer,147.78,148.76,148.86,145.15
hammer,175.27,176.83,178.7,173.54
hammer,350.52,351.53,351.72,346.91
hammer,366.56,367.47,367.54,363.02
hammer,102.67,103.61,103.71,100.41
hammer,391.16,391.92,392.14,388.47
hammer,302.96,303.6,303.86,300.73
hammer,171.81,172.68,172.89,168.88
hammer,399.97,400.89,401.14,396.67
hammer,248.45,249.18,249.33,245.72
hammer,390.08,392.32,393.74,388.85
hammer,375.0,376.1,376.37,372.45
hammer,377.86,379.77,382.75,377.16
hammer,112.56,113.68,115.49,111.37
hammer,368.9,369.54,369.73,366.9
hammer,151.05,151.73,151.79,148.95
hammer,272.94,274.05,276.96,271.35
hammer,368.17,369.26,369.34,365.91
hammer,296.79,297.79,298.08,293.93
hammer,325.09,325.58,325.66,321.54
hammer,101.09,102.03,102.16,97.64
hammer,230.56,232.92,234.37,229.18
hammer,270.41,271.74,273.68,268.73
hammer,187.12,189.38,192.81,186.41
hammer,398.45,399.2,399.38,396.21
hammer,83.67,85.63,87.98,82.77
hammer,301.0,301.48,301.72,297.3
hammer,221.67,224.15,225.92,220.24
hammer,256.65,258.5,261.66,255.29
hammer,379.36,380.14,380.39,375.75
hammer,371.13,371.6,371.69,368.74
hammer,188.58,189.8,191.28,187.4
hammer,179.29,179.95,180.05,176.27
hammer,293.62,295.44,298.81,291.79
hammer,255.62,257.31,258.59,254.69
hammer,390.88,392.01,392.27,388.36
hammer,352.89,355.0,357.8,352.07
hammer,396.52,397.12,397.36,394.14
hammer,212.76,213.55,213.71,208.86
hammer,125.0,125.59,125.71,122.52
hammer,225.71,226.26,226.49,222.57
hammer,84.91,87.34,88.64,82.91
hammer,338.28,339.99,343.43,337.21
hammer,202.2,203.37,203.63,198.6
hammer,182.05,182.99,183.12,179.45
hammer,159.88,160.86,161.04,157.1
hammer,210.81,211.68,211.93,207.51
hammer,216.16,217.52,220.28,215.25
hammer,369.71,370.66,372.72,368.79
hammer,317.8,319.32,322.17,317.07
hammer,369.67,371.44,372.86,368.6
hammer,301.37,302.24,302.41,298.31
hammer,235.52,236.53,236.77,233.26
hammer,290.45,291.18,291.28,287.73
hammer,111.79,113.52,116.96,110.76
hammer,201.72,202.4,202.64,198.02
hammer,340.22,342.43,345.28,338.69
hammer,333.98,334.48,334.58,331.71
hammer,163.95,165.65,168.25,162.56
hammer,321.35,322.49,323.54,320.63
hammer,260.01,260.52,260.64,256.14
hammer,328.32,328.75,328.87,325.78
hammer,240.15,240.57,240.64,237.32
hammer,332.92,333.76,333.9,329.31
hammer,103.67,105.28,107.29,102.41
hammer,224.65,226.21,227.43,223.13
hammer,213.3,214.25,217.68,212.7
hammer,152.79,153.21,153.39,150.25
hammer,398.54,399.51,399.6,395.94
hammer,178.44,180.2,181.92,177.75
hammer,392.51,393.14,393.22,390.13
hammer,380.46,381.6,383.87,379.21
hammer,127.55,128.23,128.41,124.46
hammer,214.16,216.46,217.5,213.35
hammer,241.76,242.28,242.41,238.72
hammer,352.34,352.89,352.97,350.01
hammer,91.14,92.16,92.3,88.37
hammer,392.79,393.84,394.06,389.18
hammer,137.14,138.39,139.66,135.99
hammer,398.75,399.32,399.44,394.88
hammer,389.99,390.82,391.06,387.87
hammer,383.62,384.52,384.77,380.96
hammer,304.86,305.54,305.59,301.12
hammer,360.95,362.83,364.29,359.0
hammer,330.63,332.32,334.46,328.69
hammer,174.61,175.35,175.63,171.26
hammer,343.45,344.51,344.57,340.01
hammer,120.6,121.83,124.61,118.86
hammer,203.1,203.69,203.88,199.95
hammer,277.71,279.56,281.76,276.48
hammer,231.53,232.84,235.61,229.82
hammer,372.72,373.89,374.08,370.45
hammer,256.53,257.0,257.12,252.53
hammer,255.76,256.59,256.8,253.32
hammer,136.03,137.62,140.36,134.58
hammer,124.29,125.2,125.47,121.18
hammer,140.93,141.68,141.83,138.0
hammer,264.51,265.48,265.53,260.66
hammer,165.55,168.03,170.72,164.91
hammer,165.59,166.07,166.19,162.82
hammer,334.51,334.93,335.03,331.85
hammer,210.65,211.81,211.94,207.67
hammer,393.97,395.12,395.2,390.03
hammer,376.86,377.81,377.89,372.91
hammer,154.19,154.74,154.95,151.33
hammer,170.51,171.38,171.68,167.53
hammer,360.56,361.41,361.49,356.59
hammer,361.88,363.3,364.7,360.13
hammer,266.94,268.02,268.11,263.02
hammer,111.1,112.13,114.27,109.6
hammer,158.04,158.92,159.07,155.98
hammer,313.3,315.78,317.02,312.2
hammer,210.84,212.94,216.39,209.37
hammer,316.97,317.56,317.66,313.25
hammer,305.52,306.52,306.77,303.39
hammer,224.5,225.17,225.33,221.67
hammer,120.78,121.9,122.15,117.06
hammer,260.43,261.27,261.49,257.33
hammer,393.65,396.07,399.09,392.72
hammer,159.19,161.47,162.68,158.02
hammer,337.86,339.24,340.63,335.93
hammer,261.22,261.74,261.94,259.16
hammer,128.46,129.96,132.89,126.58
hammer,121.94,122.47,122.72,118.39
hammer,338.62,339.41,339.57,335.16
hammer,324.19,325.01,325.16,320.89
hammer,346.68,347.6,347.82,344.16
hammer,355.63,356.07,356.37,351.96
hammer,272.77,274.68,276.12,271.11
hammer,296.75,298.23,301.01,296.14
hammer,382.46,384.56,386.59,380.7
hammer,214.15,214.97,215.25,211.74
hammer,249.93,250.38,250.53,246.5
hammer,105.64,106.51,106.73,103.17
hammer,233.25,234.14,234.24,229.42
hammer,253.48,253.93,253.99,249.79
hammer,361.7,362.97,364.0,359.78
hammer,318.66,319.09,319.23,316.53
hammer,233.31,234.14,234.42,229.91
hammer,261.69,262.79,265.93,259.84
hammer,346.29,347.26,347.44,343.74
hammer,351.32,353.58,356.48,350.68
hammer,292.09,292.96,293.02,288.51
hammer,178.4,179.51,179.79,176.23
hammer,212.62,213.18,213.4,209.63
hammer,265.33,265.85,265.98,262.57
hammer,282.67,283.59,283.82,279.09
hammer,311.75,314.19,317.21,310.7
hammer,164.86,166.44,168.5,162.93
hammer,391.77,392.73,392.81,388.04
hammer,290.94,292.81,296.06,289.47
hammer,208.19,208.74,208.93,206.04
hammer,290.43,291.35,291.41,286.47
hammer,287.24,289.45,290.63,286.49
hammer,134.3,135.11,135.32,131.63
hammer,274.84,275.37,275.55,271.73
hammer,389.34,390.02,390.08,386.35
hammer,354.75,355.8,355.97,352.14
hammer,285.86,287.7,289.18,284.99
hammer,346.22,346.68,346.74,343.14
hammer,280.01,280.57,280.64,277.4
hammer,284.62,285.24,285.34,281.14
hammer,94.53,95.41,95.46,91.93
hammer,88.4,90.61,92.28,87.63
hammer,221.49,222.27,222.54,217.9
hammer,362.92,363.82,363.91,359.06
hammer,305.46,306.05,306.17,303.3
hammer,319.04,319.75,319.97,316.04
hammer,383.53,385.88,388.44,382.39
hammer,381.31,382.24,382.47,378.1
hammer,181.18,182.1,184.25,179.18
hammer,358.57,359.48,359.68,356.26
hammer,324.0,325.03,325.21,322.0
hammer,200.21,202.13,204.48,198.73
hammer,359.3,360.21,361.55,358.49
hammer,278.31,279.44,279.52,275.39
hammer,182.0,182.51,182.66,178.49
hammer,97.98,98.62,98.79,95.86
hammer,104.62,105.21,105.47,101.84
hammer,339.68,340.7,340.86,337.09
hammer,339.44,340.47,340.55,335.7
hammer,220.5,222.62,224.21,218.79
hammer,176.37,177.1,177.35,173.45
hammer,359.23,360.18,360.46,357.13
hammer,399.86,401.12,402.22,398.23
hammer,82.12,82.53,82.71,79.57
hammer,238.51,239.31,239.5,234.77
hammer,254.83,255.81,258.88,253.21
hammer,308.58,309.12,309.23,305.71
hammer,342.18,343.16,344.22,341.21
hammer,154.06,154.87,157.14,153.0
hammer,316.41,318.16,320.63,315.07
hammer,272.13,273.32,273.56,269.44
hammer,157.94,158.79,158.86,154.41
hammer,167.29,168.34,170.44,165.37
hammer,109.59,110.71,112.38,108.08
hammer,102.72,103.3,103.58,99.0
hammer,387.67,388.67,388.9,384.87
hammer,192.74,193.64,193.86,189.3
hammer,172.04,173.43,175.54,171.16
hammer,274.0,274.67,274.87,271.68
hammer,99.17,99.96,100.06,95.96
hammer,147.59,148.2,148.33,145.58
hammer,321.2,322.52,325.32,320.68
hammer,122.86,123.51,123.6,119.48
hammer,289.18,290.08,291.38,288.22
hammer,364.02,364.45,364.52,360.17
hammer,112.29,113.17,113.39,110.19
hammer,114.1,114.74,114.88,111.56
hammer,296.54,297.49,299.55,296.0
hammer,272.84,273.79,273.93,270.75
hammer,211.19,212.26,214.43,209.24
hammer,346.14,347.23,347.5,342.91
hammer,217.57,218.52,218.69,214.24
hammer,343.9,344.95,345.18,341.22
hammer,124.43,125.22,125.29,121.56
hammer,334.53,335.03,335.25,331.77
hammer,300.38,302.78,305.03,299.14
hammer,117.2,118.06,118.14,114.18
hammer,124.02,125.1,125.17,120.48
hammer,160.21,161.14,161.19,158.18
hammer,118.36,119.58,122.07,116.93
hammer,254.22,255.28,255.39,251.53
hammer,214.75,215.21,215.33,212.26
hammer,157.71,158.63,158.91,154.02
hammer,234.54,236.51,238.25,233.93
hammer,215.0,215.6,215.88,212.12
hammer,235.41,236.03,236.27,233.18
hammer,295.15,296.21,296.49,292.93
hammer,371.1,371.57,371.77,368.97
hammer,349.61,350.67,350.73,347.52
hammer,224.16,224.79,224.9,220.75
hammer,284.48,285.38,285.5,280.56
hammer,336.37,337.3,339.81,334.63
hammer,313.13,314.02,314.2,310.36
hammer,242.26,243.11,243.35,238.47
hammer,207.4,207.9,208.16,204.5
hammer,281.29,282.36,282.45,277.93
hammer,239.95,240.98,241.17,236.24
hammer,214.52,215.97,219.14,212.66
inverted_hammer,192.72,193.57,196.91,192.56
inverted_hammer,249.72,250.86,254.54,249.55
inverted_hammer,263.74,264.61,267.54,263.55
inverted_hammer,121.08,121.96,125.73,120.91
inverted_hammer,325.39,327.85,328.45,323.08
inverted_hammer,378.19,378.61,380.85,377.92
inverted_hammer,232.37,234.09,234.86,230.48
inverted_hammer,172.73,173.24,175.4,172.54
inverted_hammer,215.12,216.13,219.95,214.86
inverted_hammer,349.57,350.28,353.47,349.3
inverted_hammer,250.72,252.8,253.77,249.45
inverted_hammer,267.8,268.33,272.12,267.56
inverted_hammer,80.06,80.58,83.64,79.91
inverted_hammer,91.75,93.68,95.02,90.15
inverted_hammer,334.15,335.01,337.46,334.03
inverted_hammer,345.04,346.06,348.55,344.8
inverted_hammer,137.54,138.38,141.28,137.4
inverted_hammer,81.51,82.52,84.85,81.27
inverted_hammer,247.89,249.73,250.34,245.43
inverted_hammer,388.2,389.06,392.36,388.1
inverted_hammer,144.54,145.84,146.38,142.54
inverted_hammer,153.58,154.74,157.78,153.53
inverted_hammer,120.26,121.45,125.03,120.03
inverted_hammer,164.24,165.17,165.74,163.2
inverted_hammer,138.0,138.69,140.75,137.78
inverted_hammer,86.32,87.83,88.71,84.22
inverted_hammer,291.76,292.23,295.13,291.46
inverted_hammer,234.28,235.08,237.35,234.18
inverted_hammer,332.19,332.8,335.39,331.93
inverted_hammer,142.75,143.74,146.23,142.68
inverted_hammer,296.56,297.16,300.55,296.42
inverted_hammer,336.74,338.18,339.27,334.25
inverted_hammer,139.45,140.32,144.01,139.34
inverted_hammer,371.68,372.57,374.58,371.57
inverted_hammer,125.23,126.06,127.15,122.9
inverted_hammer,257.58,258.1,261.9,257.37
inverted_hammer,189.65,190.53,192.99,189.51
inverted_hammer,349.0,350.11,350.71,347.75
inverted_hammer,318.64,320.96,321.49,316.01
inverted_hammer,390.28,390.7,394.67,390.07
inverted_hammer,209.09,210.54,211.08,207.69
inverted_hammer,304.0,305.31,306.51,301.28
inverted_hammer,364.15,365.53,366.94,362.43
inverted_hammer,294.42,294.88,296.91,294.19
inverted_hammer,384.53,385.07,387.82,384.3
inverted_hammer,168.35,169.38,171.4,168.29
inverted_hammer,106.64,107.16,110.47,106.37
inverted_hammer,281.56,282.22,284.95,281.37
inverted_hammer,228.78,229.89,232.07,228.61
inverted_hammer,345.81,346.78,349.02,345.73
inverted_hammer,322.49,323.63,327.6,322.22
inverted_hammer,129.51,130.19,132.47,129.37
inverted_hammer,347.83,348.6,352.43,347.61
inverted_hammer,278.14,278.77,281.6,277.95
inverted_hammer,245.68,246.59,247.18,244.11
inverted_hammer,180.0,180.67,184.23,179.83
inverted_hammer,337.77,338.32,341.7,337.63
inverted_hammer,287.24,288.97,290.07,284.69
inverted_hammer,244.05,245.04,247.88,243.76
inverted_hammer,178.13,179.09,182.56,177.87
inverted_hammer,346.3,346.77,350.12,346.04
inverted_hammer,395.61,396.5,399.13,395.43
inverted_hammer,260.19,261.39,265.15,260.02
inverted_hammer,150.65,151.78,152.46,148.05
inverted_hammer,329.9,332.11,333.52,327.49
inverted_hammer,307.86,308.5,312.04,307.69
inverted_hammer,176.74,177.77,181.33,176.46
inverted_hammer,373.48,374.32,378.22,373.4
inverted_hammer,237.26,237.82,239.88,237.02
inverted_hammer,280.46,280.97,283.38,280.26
inverted_hammer,396.37,397.14,399.34,396.28
inverted_hammer,133.62,135.0,136.13,131.48
inverted_hammer,309.54,310.12,313.74,309.31
inverted_hammer,328.57,329.71,331.89,328.35
inverted_hammer,136.2,136.87,140.22,135.92
inverted_hammer,372.23,373.38,376.25,371.93
inverted_hammer,226.56,227.39,228.14,224.5
inverted_hammer,281.81,282.44,285.24,281.68
inverted_hammer,143.89,146.18,146.88,142.49
inverted_hammer,312.63,313.08,316.03,312.54
inverted_hammer,300.43,301.14,303.47,300.24
inverted_hammer,310.58,311.89,312.95,308.44
inverted_hammer,324.95,327.12,328.42,322.75
inverted_hammer,171.52,172.4,175.43,171.41
inverted_hammer,261.81,262.8,263.78,259.43
inverted_hammer,248.46,249.6,252.0,248.38
inverted_hammer,201.88,203.05,205.35,201.63
inverted_hammer,251.11,252.31,255.63,250.9
inverted_hammer,211.04,212.07,215.6,210.99
inverted_hammer,351.65,352.18,354.63,351.52
inverted_hammer,374.52,375.26,377.61,374.31
inverted_hammer,204.0,204.8,207.9,203.79
inverted_hammer,364.68,365.31,368.58,364.6
inverted_hammer,291.37,293.4,294.55,288.37
inverted_hammer,251.89,253.21,254.45,249.08
inverted_hammer,145.22,145.82,148.79,144.98
inverted_hammer,244.89,245.54,248.55,244.8
inverted_hammer,173.71,174.66,177.21,173.52
inverted_hammer,383.58,384.78,388.71,383.53
inverted_hammer,134.23,134.83,136.83,134.15
inverted_hammer,283.47,284.29,287.57,283.34
inverted_hammer,358.98,361.37,362.55,357.71
inverted_hammer,141.6,142.76,145.1,141.31
inverted_hammer,178.18,179.2,180.43,175.29
inverted_hammer,121.72,122.57,125.54,121.51
inverted_hammer,390.25,391.35,392.45,387.99
inverted_hammer,202.1,203.03,205.98,202.0
inverted_hammer,312.06,312.61,315.66,311.94
inverted_hammer,190.16,190.57,194.54,190.01
inverted_hammer,163.02,163.73,165.8,162.79
inverted_hammer,149.69,150.6,153.25,149.6
inverted_hammer,393.36,393.78,397.03,393.28
inverted_hammer,278.25,279.59,280.54,276.01
inverted_hammer,294.35,295.17,298.57,294.28
inverted_hammer,358.05,359.23,362.11,357.79
inverted_hammer,182.13,182.62,184.92,182.01
inverted_hammer,140.3,142.66,143.56,138.84
inverted_hammer,292.06,294.23,295.34,290.73
inverted_hammer,230.57,232.36,233.81,229.43
inverted_hammer,95.78,96.25,99.25,95.54
inverted_hammer,278.68,279.86,282.63,278.54
inverted_hammer,243.75,244.72,245.47,242.28
inverted_hammer,343.78,344.26,347.28,343.56
inverted_hammer,259.61,260.63,264.23,259.48
inverted_hammer,336.94,339.23,340.54,334.79
inverted_hammer,257.13,257.63,259.64,256.93
inverted_hammer,109.74,110.86,111.76,106.82
inverted_hammer,213.96,215.06,218.01,213.69
inverted_hammer,240.74,241.71,244.46,240.48
inverted_hammer,317.34,318.27,319.41,314.74
inverted_hammer,210.28,210.74,213.33,210.0
inverted_hammer,161.0,162.08,165.17,160.94
inverted_hammer,161.06,161.62,165.39,160.79
inverted_hammer,178.67,179.46,182.79,178.6
inverted_hammer,199.39,200.05,203.72,199.29
inverted_hammer,379.74,380.74,383.21,379.44
inverted_hammer,177.54,179.39,180.88,175.66
inverted_hammer,244.52,245.07,248.96,244.31
inverted_hammer,304.28,305.42,307.64,304.04
inverted_hammer,129.53,130.76,132.12,127.68
inverted_hammer,96.52,98.69,99.82,94.94
inverted_hammer,330.71,331.59,334.33,330.64
inverted_hammer,347.26,348.36,350.76,347.09
inverted_hammer,94.76,95.69,98.32,94.57
inverted_hammer,231.81,232.76,236.02,231.68
inverted_hammer,102.52,103.68,107.6,102.45
inverted_hammer,388.77,390.67,391.85,387.24
inverted_hammer,104.33,105.94,106.79,101.54
inverted_hammer,82.31,83.04,86.16,82.16
inverted_hammer,347.23,348.21,350.84,347.05
inverted_hammer,392.39,394.29,395.73,389.9
inverted_hammer,352.67,354.94,355.45,349.93
inverted_hammer,176.43,177.44,180.32,176.28
inverted_hammer,353.38,353.93,356.19,353.19
inverted_hammer,280.04,280.96,284.36,279.79
inverted_hammer,117.21,118.11,122.1,116.99
inverted_hammer,154.3,155.71,156.9,152.35
inverted_hammer,334.88,335.89,336.5,332.98
inverted_hammer,96.99,97.8,98.69,95.44
inverted_hammer,331.17,333.11,334.12,328.48
inverted_hammer,280.1,281.1,283.93,280.03
inverted_hammer,370.47,371.25,374.16,370.41
inverted_hammer,114.0,114.56,117.09,113.82
inverted_hammer,101.44,102.16,104.81,101.32
inverted_hammer,378.35,380.16,380.75,376.41
